Model,Recall,Precision,F1-Score,ROC-AUC,PR-AUC,Accuracy,False_Negatives,True_Positives
XGBoost,0.8144329896907216,0.9186046511627907,0.8633879781420765,0.9195876288659793,0.8803031192771515,0.9625187406296851,18,79
LightGBM,0.7835051546391752,0.9382716049382716,0.8539325842696629,0.9108156990414179,0.8539051075230905,0.9610194902548725,21,76
Random Forest,0.7835051546391752,0.926829268292683,0.8491620111731844,0.9007053716766141,0.8589178185204412,0.95952023988006,21,76
Logistic Regression (Baseline),0.7628865979381443,0.5138888888888888,0.6141078838174274,0.873376740821125,0.6842907768066635,0.8605697151424287,23,74
Support Vector Machine (SVM),0.7010309278350515,0.6868686868686869,0.6938775510204082,0.8978477120636643,0.788689648482661,0.9100449775112444,29,68
